航班ID,航空公司中文,航空公司英文,航空公司韩文,航空公司法文,航班号,航班日期,出发城市代码,出发城市英文,出发城市中文,出发城市韩文,出发城市法文,到达城市,出发或到达,国内或国际,航班任务,航班状态英文,航班状态中文,航班状态韩文,航班状态法文,航站楼,登机口,计划起飞时间,预计起飞时间,计划到达时间
7740968,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ8335,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,BKI,D,I,W/Z,Departed,起飞,이륙,Départ,T2,A146,2024-07-10 15:10:00,2024-07-10 15:10:00,2024-07-10 18:20:00
7740634,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3501,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,HGH,D,D,W/Z,Departed,起飞,이륙,Départ,T2,B170,2024-07-10 15:10:00,2024-07-10 15:10:00,2024-07-10 17:15:00
7731767,越南航空,Vietnam Airlines,Vietnam Airlines,Vietnam Airlines,VN503,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SGN,D,I,W/Z,Gate Closed,登机结束,탑승 마감,Arrêt d'embarquement,T2,A144,2024-07-10 15:15:00,2024-07-10 15:15:00,2024-07-10 17:15:00
7740539,海南航空,Hainan Airlines,Hainan Airlines,Hainan Airlines,HU7810,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,PEK,D,D,W/Z,Departed,起飞,이륙,Départ,T1,B218,2024-07-10 15:15:00,2024-07-10 15:15:00,2024-07-10 18:15:00
7740549,中国东方航空,China Eastern Airlines,China Eastern Airlines,China Eastern Airlines,MU6308,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,PKX,D,D,W/Z,Gate Closed,登机结束,탑승 마감,Arrêt d'embarquement,T1,A131,2024-07-10 15:15:00,2024-07-10 15:15:00,2024-07-10 18:15:00
7740564,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3417,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,CTU,D,D,W/Z,Last Call,催促登机,탑승독촉,Presser l'embarquement,T2,B271,2024-07-10 15:15:00,2024-07-10 15:15:00,2024-07-10 17:40:00
7741168,海南航空,Hainan Airlines,Hainan Airlines,Hainan Airlines,HU7251,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,TFU,D,D,W/Z,Gate Closed,登机结束,탑승 마감,Arrêt d'embarquement,T1,B220,2024-07-10 15:20:00,2024-07-10 15:20:00,2024-07-10 17:40:00
7740693,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ6840,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,KHG,D,D,W/Z,Gate Closed,登机结束,탑승 마감,Arrêt d'embarquement,T2,B272,2024-07-10 15:25:00,2024-07-10 15:25:00,2024-07-10 22:05:00
7740961,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ6200,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,DQA,D,D,W/Z,Gate Closed,登机结束,탑승 마감,Arrêt d'embarquement,T2,B266,2024-07-10 15:25:00,2024-07-10 15:25:00,2024-07-10 21:55:00
7740633,沙特阿拉伯航空,Saudi Arabian Airlines,Saudi Arabian Airlines,Saudi Arabian Airlines,SV883,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,JED,D,I,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,A147,2024-07-10 15:25:00,2024-07-10 15:25:00,2024-07-10 20:30:00
7741157,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ8766,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,CGO,D,D,W/Z,Gate Closed,登机结束,탑승 마감,Arrêt d'embarquement,T2,B267,2024-07-10 15:25:00,2024-07-10 15:25:00,2024-07-10 17:45:00
7741212,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ340,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,HAK,D,I,W/Z,Last Call,催促登机,탑승독촉,Presser l'embarquement,T2,"B165,A304",2024-07-10 15:30:00,2024-07-10 15:30:00,2024-07-10 17:00:00
7740518,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3185,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,PKX,D,D,W/Z,Gate Closed,登机结束,탑승 마감,Arrêt d'embarquement,T2,B273,2024-07-10 15:30:00,2024-07-10 15:30:00,2024-07-10 18:25:00
7740847,中国东方航空,China Eastern Airlines,China Eastern Airlines,China Eastern Airlines,MU5310,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SHA,D,D,W/Z,Check-in Closed,值机截止,탑승 마감,Arrêt d'enregistrement,T1,A127,2024-07-10 15:30:00,2024-07-10 15:30:00,2024-07-10 18:00:00
7741159,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ6368,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SHE,D,D,W/Z,Gate Closed,登机结束,탑승 마감,Arrêt d'embarquement,T2,B262,2024-07-10 15:30:00,2024-07-10 15:30:00,2024-07-10 19:20:00
7740583,天津航空,Tianjin Airlines,Tianjin Airlines,Tianjin Airlines,GS7896,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,TSN,D,D,W/Z,Gate Closed,登机结束,탑승 마감,Arrêt d'embarquement,T1,B221,2024-07-10 15:35:00,2024-07-10 15:35:00,2024-07-10 18:40:00
7740883,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3711,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,TNA,D,D,W/Z,Gate Closed,登机结束,탑승 마감,Arrêt d'embarquement,T2,B167,2024-07-10 15:35:00,2024-07-10 15:35:00,2024-07-10 18:25:00
7740965,海南航空,Hainan Airlines,Hainan Airlines,Hainan Airlines,HU7287,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,CGO,D,D,W/Z,Gate Closed,登机结束,탑승 마감,Arrêt d'embarquement,T1,B215,2024-07-10 15:40:00,2024-07-10 15:40:00,2024-07-10 18:10:00
7741043,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ8057,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,DXB,D,I,W/Z,Gate Closed,登机结束,탑승 마감,Arrêt d'embarquement,T2,A173,2024-07-10 15:40:00,2024-07-10 15:40:00,2024-07-10 23:10:00
7728583,中国国际航空,China Airline,China Airline,China Airline,CA1316,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,PEK,D,D,W/Z,Gate Closed,登机结束,탑승 마감,Arrêt d'embarquement,T1,B207,2024-07-10 15:40:00,2024-07-10 15:40:00,2024-07-10 19:00:00
7740667,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ6653,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,JHG,D,D,W/Z,Check-in Closed,值机截止,탑승 마감,Arrêt d'enregistrement,T2,B273,2024-07-10 15:40:00,2024-07-10 15:40:00,2024-07-10 18:30:00
7740949,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3606,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,YNJ,D,D,W/Z,Last Call,催促登机,탑승독촉,Presser l'embarquement,T2,B268,2024-07-10 15:45:00,2024-07-10 15:45:00,2024-07-10 22:00:00
7741104,泰国航空,Thai Airways,Thai Airways,Thai Airways,TG669,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,BKK,D,I,W/Z,Check-in Closed,值机截止,탑승 마감,Arrêt d'enregistrement,T2,A151,2024-07-10 15:45:00,2024-07-10 15:45:00,2024-07-10 18:45:00
7740954,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ6892,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,URC,D,D,W/Z,Check-in Closed,值机截止,탑승 마감,Arrêt d'enregistrement,T2,B154,2024-07-10 15:55:00,2024-07-10 15:55:00,2024-07-10 21:10:00
7741017,中国东方航空,China Eastern Airlines,China Eastern Airlines,China Eastern Airlines,MU5238,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,NGB,D,D,W/Z,Last Call,催促登机,탑승독촉,Presser l'embarquement,T1,A133,2024-07-10 15:55:00,2024-07-10 15:55:00,2024-07-10 17:55:00
7740976,中国国际航空,China Airline,China Airline,China Airline,CA4318,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,CTU,D,D,W/Z,Boarding,登机,탑승,Embarquement,T1,B212,2024-07-10 16:00:00,2024-07-10 16:00:00,2024-07-10 18:35:00
7740566,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3115,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,PKX,D,D,W/Z,Last Call,催促登机,탑승독촉,Presser l'embarquement,T2,B172,2024-07-10 16:00:00,2024-07-10 16:00:00,2024-07-10 18:55:00
7740599,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3503,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SHA,D,D,W/Z,Check-in Closed,值机截止,탑승 마감,Arrêt d'enregistrement,T2,B71,2024-07-10 16:00:00,2024-07-10 16:00:00,2024-07-10 18:25:00
7741122,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ6740,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SYX,D,D,W/Z,Boarding,登机,탑승,Embarquement,T2,B269,2024-07-10 16:00:00,2024-07-10 16:00:00,2024-07-10 17:25:00
7741138,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3033,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,CNX,D,I,W/Z,Boarding,登机,탑승,Embarquement,T2,A150,2024-07-10 16:00:00,2024-07-10 16:00:00,2024-07-10 18:50:00
7740885,深圳航空,Shenzhen Airlines,Shenzhen Airlines,Shenzhen Airlines,ZH9995,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,TAO,D,D,W/Z,Last Call,催促登机,탑승독촉,Presser l'embarquement,T1,B227,2024-07-10 16:00:00,2024-07-10 16:00:00,2024-07-10 18:50:00
7740712,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3573,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,TAO,D,D,W/Z,Check-in Closed,值机截止,탑승 마감,Arrêt d'enregistrement,T2,B166,2024-07-10 16:05:00,2024-07-10 16:05:00,2024-07-10 18:55:00
7740753,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3135,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,TSN,D,D,W/Z,Check-in Closed,值机截止,탑승 마감,Arrêt d'enregistrement,T2,B66,2024-07-10 16:05:00,2024-07-10 16:05:00,2024-07-10 19:05:00
7740576,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ5781,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,LZG,D,D,W/Z,Boarding,登机,탑승,Embarquement,T2,B163,2024-07-10 16:05:00,2024-07-10 16:05:00,2024-07-10 18:30:00
7740577,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ363,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,BKK,D,I,W/Z,Boarding,登机,탑승,Embarquement,T2,A168,2024-07-10 16:05:00,2024-07-10 16:05:00,2024-07-10 18:55:00
7740859,九元航空,9 Air,9 Air,9 Air,AQ1009,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,PVG,D,D,W/Z,Check-in Closed,值机截止,탑승 마감,Arrêt d'enregistrement,T1,B202,2024-07-10 16:05:00,2024-07-10 16:05:00,2024-07-10 18:30:00
7740786,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ8927,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,LFQ,D,D,W/Z,Boarding,登机,탑승,Embarquement,T2,B259,2024-07-10 16:10:00,2024-07-10 16:10:00,2024-07-10 19:05:00
7741058,中国国际航空,China Airline,China Airline,China Airline,CA9691,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,HET,D,D,W/Z,Check-in Closed,值机截止,탑승 마감,Arrêt d'enregistrement,T1,B201,2024-07-10 16:10:00,2024-07-10 16:10:00,2024-07-10 19:30:00
7740950,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ6037,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,LHE,D,I,W/Z,Boarding,登机,탑승,Embarquement,T2,A152,2024-07-10 16:15:00,2024-07-10 16:15:00,2024-07-10 22:45:00
7740591,重庆航空,Chongqing Airlines,Chongqing Airlines,Chongqing Airlines,OQ2027,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,NGB,D,D,W/Z,Delayed,延误,연착,Retard,T2,B253,2024-07-10 16:15:00,2024-07-10 16:15:00,2024-07-10 18:25:00
7740666,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ8015,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,HAN,D,I,W/Z,Check-in Closed,值机截止,탑승 마감,Arrêt d'enregistrement,T2,A148,2024-07-10 16:15:00,2024-07-10 16:15:00,2024-07-10 17:45:00
7741013,中国国际航空,China Airline,China Airline,China Airline,CA1829,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SHA,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,B203,2024-07-10 16:20:00,2024-07-10 16:20:00,2024-07-10 18:40:00
7740827,海南航空,Hainan Airlines,Hainan Airlines,Hainan Airlines,HU7207,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,TAO,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,B216,2024-07-10 16:20:00,2024-07-10 16:20:00,2024-07-10 19:30:00
7741137,中国联合航空,China United Airlines,China United Airlines,China United Airlines,KN2836,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,WNZ,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,A126,2024-07-10 16:20:00,2024-07-10 16:20:00,2024-07-10 18:05:00
7740888,越南航空,Vietnam Airlines,Vietnam Airlines,Vietnam Airlines,VN507,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,HAN,D,I,W/Z,Check-in Closed,值机截止,탑승 마감,Arrêt d'enregistrement,T2,A149,2024-07-10 16:20:00,2024-07-10 16:20:00,2024-07-10 20:20:00
7740729,中国东方航空,China Eastern Airlines,China Eastern Airlines,China Eastern Airlines,MU9690,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,KMG,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,A130,2024-07-10 16:25:00,2024-07-10 16:25:00,2024-07-10 19:00:00
7740992,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3215,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,XIY,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B164,2024-07-10 16:25:00,2024-07-10 16:25:00,2024-07-10 18:55:00
7740610,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3892,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SWA,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B261,2024-07-10 16:25:00,2024-07-10 16:25:00,2024-07-10 17:25:00
7741147,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3125,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,HZA,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B156,2024-07-10 16:25:00,2024-07-10 16:25:00,2024-07-10 18:45:00
7740958,深圳航空,Shenzhen Airlines,Shenzhen Airlines,Shenzhen Airlines,ZH9829,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,WUX,D,D,W/Z,Delayed,延误,연착,Retard,T1,B234,2024-07-10 16:30:00,2024-07-10 16:30:00,2024-07-10 18:50:00
7740574,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3699,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,NKG,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B255,2024-07-10 16:30:00,2024-07-10 16:30:00,2024-07-10 18:50:00
7740837,四川航空,Sichuan Airlines,Sichuan Airlines,Sichuan Airlines,3U3067,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,LHW,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B251,2024-07-10 16:30:00,2024-07-10 16:30:00,2024-07-10 19:35:00
7740845,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3411,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,CKG,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B265,2024-07-10 16:30:00,2024-07-10 16:30:00,2024-07-10 18:45:00
7741155,中国东方航空,China Eastern Airlines,China Eastern Airlines,China Eastern Airlines,MU5312,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SHA,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,A15,2024-07-10 16:30:00,2024-07-10 16:30:00,2024-07-10 19:10:00
7740677,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ6790,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,HAK,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B278,2024-07-10 16:35:00,2024-07-10 16:35:00,2024-07-10 17:55:00
7741031,深圳航空,Shenzhen Airlines,Shenzhen Airlines,Shenzhen Airlines,ZH9867,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,NKG,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,B225,2024-07-10 16:35:00,2024-07-10 16:35:00,2024-07-10 19:05:00
7740568,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3307,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,LJG,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B258,2024-07-10 16:35:00,2024-07-10 16:35:00,2024-07-10 19:20:00
7740829,中国东方航空,China Eastern Airlines,China Eastern Airlines,China Eastern Airlines,MU2541,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,WUH,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,A124,2024-07-10 16:35:00,2024-07-10 16:35:00,2024-07-10 18:25:00
7741143,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ6241,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,XNN,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B274,2024-07-10 16:35:00,2024-07-10 16:35:00,2024-07-10 19:40:00
7740910,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ6091,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,VTE,D,I,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,A153,2024-07-10 16:35:00,2024-07-10 16:35:00,2024-07-10 19:10:00
7741025,厦门航空,Xiamen Air,Xiamen Air,Xiamen Air,MF8388,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SHE,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B252,2024-07-10 16:40:00,2024-07-10 16:40:00,2024-07-10 18:00:00
7740783,春秋航空,Spring Airlines,Spring Airlines,Spring Airlines,9C8856,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SHA,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,B230,2024-07-10 16:40:00,2024-07-10 16:40:00,2024-07-10 18:50:00
7740560,深圳航空,Shenzhen Airlines,Shenzhen Airlines,Shenzhen Airlines,ZH9657,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SHE,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,B233,2024-07-10 16:40:00,2024-07-10 16:40:00,2024-07-10 22:30:00
7717559,,,,,MF8388,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,XMN,D,D,W/Z,Plan,计划,계획,Plan,T2,B252,2024-07-10 16:40:00,2024-07-10 16:40:00,2024-07-10 18:00:00
7741115,中国国际航空,China Airline,China Airline,China Airline,CA1340,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,PEK,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,B206,2024-07-10 16:40:00,2024-07-10 16:40:00,2024-07-10 19:55:00
7740631,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ6348,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SHE,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B275,2024-07-10 16:45:00,2024-07-10 16:45:00,2024-07-10 20:40:00
7740723,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ395,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,PEN,D,I,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,A147,2024-07-10 16:50:00,2024-07-10 16:50:00,2024-07-10 21:00:00
7740749,中国国际航空,China Airline,China Airline,China Airline,CA8232,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,WUH,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,B213,2024-07-10 16:50:00,2024-07-10 16:50:00,2024-07-10 18:35:00
7741080,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3995,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,HIA,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B50,2024-07-10 16:50:00,2024-07-10 16:50:00,2024-07-10 19:25:00
7740718,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ8281,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,HSN,D,D,W/Z,Delayed,延误,연착,Retard,T2,B262,2024-07-10 16:55:00,2024-07-10 16:55:00,2024-07-10 19:15:00
7741018,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3921,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,YCU,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B267,2024-07-10 16:55:00,2024-07-10 16:55:00,2024-07-10 19:20:00
7740525,中国东方航空,China Eastern Airlines,China Eastern Airlines,China Eastern Airlines,MU2918,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,WUX,D,D,W/Z,Delayed,延误,연착,Retard,T1,A125,2024-07-10 16:55:00,2024-07-10 16:55:00,2024-07-10 19:20:00
7740704,中国国际航空,China Airline,China Airline,China Airline,CA8677,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,PKX,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,B210,2024-07-10 17:00:00,2024-07-10 17:00:00,2024-07-10 20:25:00
7740781,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3113,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,PKX,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B167,2024-07-10 17:00:00,2024-07-10 17:00:00,2024-07-10 20:05:00
7741081,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3346,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,WUH,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B157,2024-07-10 17:00:00,2024-07-10 17:00:00,2024-07-10 19:00:00
航班ID,航空公司中文,航空公司英文,航空公司韩文,航空公司法文,航班号,航班日期,出发城市代码,出发城市英文,出发城市中文,出发城市韩文,出发城市法文,到达城市,出发或到达,国内或国际,航班任务,航班状态英文,航班状态中文,航班状态韩文,航班状态法文,航站楼,登机口,计划起飞时间,预计起飞时间,计划到达时间
