news_id,news_type,news_leibie,news_type_des,news_url,news_title_show,news_tag_img,news_star_time_show,news_end_time_show,contain_kwd_fujian,news_diqustr,news_zbje_show,news_zhongbiaojine_show,is_xiangmu,news_gczj_show,news_jieduan_show,news_cgfs
313552027,1,1,招标公告,//www.bidcenter.com.cn/news-313552027-1.html,重庆工商职业学院人工智能技术应用资源库之资源建设采购项目公开招标公告,,2024-10-10,2024-10-31,内容,重庆,70万元,--,false,--,,公开招标
313496065,1,2,招标公告,//www.bidcenter.com.cn/news-313496065-1.html,2024年中国电信卫星公司天通终端测试仪表天通综测仪采购项目招标公告,,2024-10-10,2024-10-31,内容,北京,110万元,--,false,--,,公开招标
313495990,1,2,招标公告,//www.bidcenter.com.cn/news-313495990-1.html,2024年中国电信卫星公司天通终端测试仪表频谱分析仪及信号发生器采购项目招标公告,,2024-10-10,2024-10-31,内容,北京,225万元,--,false,--,,公开招标
313430415,1,2,招标公告,//www.bidcenter.com.cn/news-313430415-1.html,航空摄影测量虚实结合、数字测图教学实训室设备采购项目需求公示,2,2024-10-10,--,内容或附件,贵州,121.34万元,--,false,--,,--
313423950,1,2,招标公告,//www.bidcenter.com.cn/news-313423950-1.html,额敏县改善高中办学条件设施设备采购安装项目公开招标公告,1,2024-10-10,2024-10-30,内容或标书,新疆,1145万元,--,false,--,,公开招标
313372703,1,2,招标公告,//www.bidcenter.com.cn/news-313372703-1.html,浦江县职业技术学校关于图书采购,2,2024-10-10,--,内容或附件,浙江,5万元,--,false,--,,竞价
313372775,1,2,招标公告,//www.bidcenter.com.cn/news-313372775-1.html,浦江县职业技术学校关于图书采购,2,2024-10-10,--,内容或附件,浙江,5万元,--,false,--,,竞价
313374962,1,2,招标公告,//www.bidcenter.com.cn/news-313374962-1.html,关于图书采购竞价公告,2,2024-10-10,--,内容或附件,浙江,5万元,--,false,--,,竞价
313474922,1,1,招标公告,//www.bidcenter.com.cn/news-313474922-1.html,Python程序开发实训室建设开标信息,,2024-10-10,--,内容,安徽,--,--,false,--,,--
313474525,1,2,招标公告,//www.bidcenter.com.cn/news-313474525-1.html,资管数据平台POC供应商三轮征集公告,,2024-10-10,2024-10-17,内容,上海,3万元,--,false,--,,--
313529976,1,1,招标公告,//www.bidcenter.com.cn/news-313529976-1.html,宣城市生物工程学校Python程序开发实训室建设,,2024-10-10,--,内容,安徽,--,--,false,--,,--
313555584,1,1,招标公告,//www.bidcenter.com.cn/news-313555584-1.html,重庆工商职业学院人工智能技术应用资源库之资源建设采购项目公开招标公告-采购公告,,2024-10-10,2024-10-31,内容,重庆,70万元,--,false,--,,公开招标
313541625,5,2,采购信息,//www.bidcenter.com.cn/news-313541625-5.html,深圳大学-竞价公告,,2024-10-10,--,内容,广东,--,--,false,--,,竞价
313541617,5,2,采购信息,//www.bidcenter.com.cn/news-313541617-5.html,深圳大学-竞价公告,,2024-10-10,--,内容,广东,--,--,false,--,,竞价
313374154,5,2,采购信息,//www.bidcenter.com.cn/news-313374154-5.html,华电院采购光学模块系统,,2024-10-10,--,内容,广东,--,--,false,--,,竞价
313307940,1,1,招标公告,//www.bidcenter.com.cn/news-313307940-1.html,芦山县文化广播电视体育和旅游局芦山县数字化基础设施建设项目设施设备采购项目招标公告,2,2024-10-09,--,内容或附件,四川,--,--,false,--,,公开招标
313310147,1,2,招标公告,//www.bidcenter.com.cn/news-313310147-1.html,粤政易协同办公平台连平县分节点实施项目竞争性磋商公告,2,2024-10-09,2024-10-22,内容或附件,广东,165.36万元,--,false,--,,竞争性磋商
313301247,1,2,招标公告,//www.bidcenter.com.cn/news-313301247-1.html,西华师范大学人工智能实验室二期扩建项目公开招标采购公告,2,2024-10-09,--,内容或附件,四川,--,--,false,--,,公开招标
313300196,1,3,招标公告,//www.bidcenter.com.cn/news-313300196-1.html,中央广播电视总台2023年网络安全系统扩充二专用工作站终端管理系统和网络安全统一监测平台服务器扩充采购项目招标公告,1,2024-10-09,--,内容或标书,北京,--,--,false,--,,--
313284333,1,2,招标公告,//www.bidcenter.com.cn/news-313284333-1.html,建德市电子政务基础平台三项目非政府采购项目,2,2024-10-09,2024-10-30,内容或附件,浙江,--,--,false,--,,公开招标
313272389,1,3,招标公告,//www.bidcenter.com.cn/news-313272389-1.html,关于临平区云平台系统改造服务项目的公开招标公告,2,2024-10-09,2024-10-29,内容或附件,浙江,651.71万元,--,false,--,,公开招标
313294090,1,1,招标公告,//www.bidcenter.com.cn/news-313294090-1.html,广东省地震局广东省巨灾防范工程-数据平台省级中心设备单项工程采购项目二次招标公告,1,2024-10-09,--,内容或标书,广东,--,--,false,--,,--
313272358,1,1,招标公告,//www.bidcenter.com.cn/news-313272358-1.html,关于富阳区天网工程社会面接入项目的公开招标公告非政府采购,1,2024-10-09,2024-10-30,内容或标书,浙江,738万元,--,false,--,,公开招标
313266777,1,2,招标公告,//www.bidcenter.com.cn/news-313266777-1.html,卓正招标咨询丽水有限公司关于工业机器人应用中心工业机器人运动控制设备采购项目的公开招标公告,2,2024-10-09,2024-11-01,内容或附件,浙江,280万元,--,false,--,,公开招标
313231355,1,2,招标公告,//www.bidcenter.com.cn/news-313231355-1.html,智慧会计综合实验室软件采购项目,2,2024-10-09,,内容或附件,江西,--,--,false,--,,--
313216902,1,3,招标公告,//www.bidcenter.com.cn/news-313216902-1.html,临平区云平台系统改造服务项目-招标公告,2,2024-10-09,2024-10-29,内容或附件,浙江,--,--,false,--,,公开招标
313211969,1,3,招标公告,//www.bidcenter.com.cn/news-313211969-1.html,单一来源采购公示,,2024-10-09,--,内容,广东,--,--,false,--,,单一来源
313218134,1,2,招标公告,//www.bidcenter.com.cn/news-313218134-1.html,图书馆一体化数字资源共享平台采购项目磋商公告,2,2024-10-09,2024-10-22,内容或附件,安徽,29万元,--,false,--,,--
313189629,1,3,招标公告,//www.bidcenter.com.cn/news-313189629-1.html,浙江祥泽招标代理有限公司关于天台县卫健局卫生专网安全防护、网络维护、等保服务采购项目征询意见公告,2,2024-10-09,,内容或附件,浙江,--,--,false,--,,公开招标
313189581,1,2,招标公告,//www.bidcenter.com.cn/news-313189581-1.html,呼伦贝尔职业技术学院教学仪器采购项目询价公告,2,2024-10-09,--,内容或附件,内蒙古,--,--,false,--,,询价
313183939,1,1,招标公告,//www.bidcenter.com.cn/news-313183939-1.html,关于校园网络安全设备建设项目的竞争性磋商公告,2,2024-10-09,2024-10-17,内容或附件,吉林,160万元,--,false,--,,竞争性磋商
313112386,1,2,招标公告,//www.bidcenter.com.cn/news-313112386-1.html,中德先进职业教育合作项目二次招标公告,,2024-10-09,2024-10-30,内容,黑龙江,273万元,--,false,--,,公开招标
313100615,1,2,招标公告,//www.bidcenter.com.cn/news-313100615-1.html,关于python编程课程，课程配套在线评测平台的在线询价竞价公告,,2024-10-09,--,,贵州,4.8万元,--,false,--,,询价
313091792,1,2,招标公告,//www.bidcenter.com.cn/news-313091792-1.html,关于python编程课程，课程配套在线评测平台的在线询价-关于python编程课程，课程配套在线评测平台的在线询价竞价公告,,2024-10-09,--,,贵州,4.8万元,--,false,--,,询价
313080105,1,1,招标公告,//www.bidcenter.com.cn/news-313080105-1.html,《单片机原理与应用》课程资源建设项目,2,2024-10-09,,内容或附件,新疆,9.8万元,--,false,--,,反向竞价
313083267,1,1,招标公告,//www.bidcenter.com.cn/news-313083267-1.html,《单片机原理与应用》课程资源建设项目竞价公告,2,2024-10-09,,内容或附件,新疆,9.8万元,--,false,--,,反向竞价
313096241,1,3,招标公告,//www.bidcenter.com.cn/news-313096241-1.html,永州市本级计算应用与维修专业网络平台实训教学建设项目,2,2024-10-09,,内容或附件,湖南,38万元,--,false,--,,竞价
313067292,1,3,招标公告,//www.bidcenter.com.cn/news-313067292-1.html,计算应用与维修专业网络平台实训教学建设项目,2,2024-10-09,,内容或附件,湖南,38万元,--,false,--,,竞价
313047448,1,2,招标公告,//www.bidcenter.com.cn/news-313047448-1.html,[省本级]关于2024年应用型人才产教融合实训基地项目电子数据取证鉴定中心采购电子化公开招标公告,2,2024-10-09,2024-10-31,内容或附件,江西,215.16万元,--,false,--,,公开招标
313303210,1,2,招标公告,//www.bidcenter.com.cn/news-313303210-1.html,教学仪器采购项目询价公告-采购/资审公告,2,2024-10-09,2024-10-18,内容或附件,内蒙古,300.1万元,--,false,--,,询价
