Top,Name,Processor,CPU,GPU,MEM,UX,Score
1,红魔9 Pro+,S-8 Gen 3 16/512,474724 分,912609 分,428089 分,373209 分,2188631 分
2,vivo X100,M-9300 16/1024,511119 分,903499 分,438312 分,331223 分,2184153 分
3,iQOO 12,S-8 Gen 3 16/1024,470166 分,911934 分,454635 分,337749 分,2174484 分
4,iQOO 12 Pro,S-8 Gen 3 16/1024,457857 分,887583 分,457595 分,337969 分,2141004 分
5,vivo X100 Pro,M-9300 16/1024,499413 分,858272 分,430517 分,321680 分,2109880 分
6,小米14 Pro,S-8 Gen 3 16/512,435846 分,834266 分,419019 分,317731 分,2006861 分
7,小米14,S-8 Gen 3 16/512,441386 分,824976 分,420311 分,317590 分,2004263 分
8,iQOO 11S,S-8 Gen 2 16/512,414573 分,603382 分,349361 分,280440 分,1647756 分
9,一加Ace 2 Pro,S-8 Gen 2 24/1024,403365 分,603531 分,335888 分,299634 分,1642418 分
10,vivo X90 Pro+,S-8 Gen 2 12/512,416354 分,598442 分,329654 分,285087 分,1629535 分
11,realme GT5,S-8 Gen 2 16/512,407107 分,588996 分,320563 分,295404 分,1612069 分
12,OPPO Find X6 Pro,S-8 Gen 2 16/512,413065 分,594393 分,305324 分,295828 分,1608610 分
13,iQOO 11,S-8 Gen 2 12/256,408455 分,598415 分,309629 分,282828 分,1599327 分
14,一加手机11,S-8 Gen 2 16/512,405475 分,593291 分,304979 分,292907 分,1596650 分
15,努比亚Z50S Pro,S-8 Gen 2 OC 12/1024,378628 分,615498 分,272100 分,316231 分,1582457 分
16,OPPO Find N3,S-8 Gen 2 12/512,389723 分,594039 分,301610 分,292900 分,1578270 分
17,魅族20 Pro,S-8 Gen 2 12/256,394783 分,598868 分,299905 分,279548 分,1573104 分
18,vivo X90s,M-9200+ 12/512,410786 分,559697 分,311055 分,290762 分,1572300 分
19,小米13,S-8 Gen 2 12/512,393407 分,602737 分,289590 分,279948 分,1565681 分
20,iQOO Neo8 Pro,M-9200+ 16/1024,382217 分,562786 分,325094 分,294805 分,1564902 分
21,魅族20,S-8 Gen 2 12/256,393534 分,604941 分,294220 分,269203 分,1561897 分
22,小米MIX Fold 3,S-8 Gen 2 OC 16/512,375605 分,617687 分,285763 分,281040 分,1560093 分
23,小米13 Ultra,S-8 Gen 2 16/512,385233 分,598220 分,291564 分,279683 分,1554699 分
24,小米13 Pro,S-8 Gen 2 12/512,384246 分,597011 分,286530 分,284542 分,1552329 分
25,Redmi K60 Pro,S-8 Gen 2 12/512,385755 分,595702 分,290706 分,279680 分,1551841 分
26,努比亚Z50,S-8 Gen 2 12/256,369689 分,604752 分,296106 分,272970 分,1543515 分
27,三星Galaxy S23 Ultra,S-8 Gen 2 OC 12/512,381053 分,598541 分,286825 分,273287 分,1539706 分
28,三星Galaxy S23,S-8 Gen 2 OC 8/256,378149 分,605661 分,273270 分,265396 分,1522476 分
29,vivo X90,M-9200 12/256,405924 分,539093 分,296602 分,277500 分,1519119 分
30,Redmi K60 至尊版,M-9200+ 24/1024,383527 分,531142 分,324069 分,279442 分,1518180 分
31,vivo X90 Pro,M-9200 12/256,401157 分,541466 分,290810 分,277655 分,1511088 分
32,三星Galaxy Z Fold5,S-8 Gen 2 OC 12/512,379380 分,566949 分,294992 分,266793 分,1508112 分
33,OPPO Find X6,M-9200 16/512,394776 分,509770 分,311226 分,287061 分,1502833 分
34,荣耀Magic5 Pro,S-8 Gen 2 12/256,333076 分,579340 分,275957 分,247003 分,1435376 分
35,荣耀Magic5 至臻版,S-8 Gen 2 16/512,318252 分,580885 分,280356 分,238370 分,1417862 分
36,荣耀Magic V2,S-8 Gen 2 OC 16/512,280705 分,623879 分,248008 分,223481 分,1376073 分
37,OPPO Reno10 Pro+ 5G,S-8+ Gen 1 UC 16/512,372281 分,490867 分,251747 分,260625 分,1375520 分
38,一加Ace 2,S-8+ Gen 1 16/512,378874 分,491355 分,237443 分,258708 分,1366379 分
39,iQOO Neo8,S-8+ Gen 1 UC 16/1024,356594 分,485671 分,276245 分,244421 分,1362931 分
40,iQOO Neo7 竞速版,S-8+ Gen 1 16/512,367081 分,490177 分,264181 分,239863 分,1361299 分
41,拯救者平板Y700 2023,S-8+ Gen 1 16/512,366010 分,482235 分,239121 分,257126 分,1344492 分
42,荣耀Magic5,S-8 Gen 2 12/256,300595 分,588267 分,215746 分,237508 分,1342116 分
43,Redmi K60,S-8+ Gen 1 UC 16/1024,356267 分,485851 分,245487 分,248306 分,1335911 分
44,小米12S Pro,S-8+ Gen 1 12/512,365374 分,481674 分,236077 分,252507 分,1335632 分
45,OPPO Reno9 Pro+ 5G,S-8+ Gen 1 UC 16/256,365013 分,497231 分,220577 分,251148 分,1333969 分
46,realme GT Neo5,S-8+ Gen 1 UC 16/1024,353066 分,476472 分,243030 分,257884 分,1330452 分
47,iQOO 10,S-8+ Gen 1 12/256,350316 分,488518 分,251588 分,239924 分,1330346 分
48,iQOO 10 Pro,S-8+ Gen 1 12/256,350619 分,483355 分,251517 分,244398 分,1329887 分
49,小米平板6 Pro,S-8+ Gen 1 12/512,361344 分,473980 分,229333 分,264054 分,1328709 分
50,一加Ace Pro,S-8+ Gen 1 16/256,371840 分,493520 分,207710 分,252159 分,1325229 分
51,拯救者Y70,S-8+ Gen 1 12/256,363427 分,490677 分,219197 分,251463 分,1324764 分
52,Redmi K50 至尊版,S-8+ Gen 1 12/512,364951 分,476536 分,228019 分,248567 分,1318073 分
53,小米12S Ultra,S-8+ Gen 1 12/512,353488 分,479425 分,208979 分,250820 分,1292712 分
54,华为P60 Art,S-8+ Gen 1 12/512,357761 分,473636 分,212314 分,231672 分,1275383 分
55,华为Mate 50 Pro,S-8+ Gen 1 8/256,366265 分,474752 分,196187 分,231913 分,1269117 分
56,华为P60 Pro,S-8+ Gen 1 12/256,358473 分,473959 分,195131 分,231606 分,1259169 分
57,iQOO 9,S-8 Gen 1 12/256,326014 分,451972 分,239647 分,232169 分,1249802 分
58,华为P60,S-8+ Gen 1 UC 8/256,351029 分,473775 分,190362 分,227480 分,1242646 分
59,iQOO 9 Pro,S-8 Gen 1 12/256,325594 分,443514 分,238664 分,234288 分,1242060 分
60,iQOO Neo6,S-8 Gen 1 12/256,319837 分,441075 分,226208 分,227931 分,1215051 分
61,荣耀80 GT,S-8+ Gen 1 UC 12/256,275055 分,472307 分,216241 分,231048 分,1194651 分
62,小米12 Pro,S-8 Gen 1 12/256,309365 分,431615 分,206987 分,237679 分,1185646 分
63,荣耀80 Pro,S-8+ Gen 1 UC 12/256,276474 分,454023 分,214711 分,239561 分,1184769 分
64,realme GT Neo5 SE,S-7+ Gen 2 16/1024,343209 分,343116 分,229916 分,250093 分,1166334 分
65,Redmi K50 电竞版,S-8 Gen 1 12/256,307457 分,414693 分,208221 分,233432 分,1163802 分
66,Redmi Note 12 Turbo,S-7+ Gen 2 16/1024,352164 分,337242 分,230432 分,237088 分,1156926 分
67,iQOO Neo7,M-9000+ 12/256,375847 分,306683 分,224564 分,239564 分,1146658 分
68,荣耀90 Pro,S-8+ Gen 1 UC 16/256,286845 分,394854 分,218124 分,232741 分,1132564 分
69,vivo X80,M-9000 12/256,368158 分,301442 分,224074 分,236697 分,1130370 分
70,一加Ace 2V,M-9000 16/512,372183 分,296174 分,220059 分,238115 分,1126531 分
71,Redmi K50 Pro,M-9000 8/256,354665 分,291576 分,192048 分,228423 分,1066712 分
72,OPPO Reno11 5G,M-8200 12/512,280389 分,271269 分,228247 分,241819 分,1021724 分
73,iQOO Z8,M-8200 12/512,282650 分,238977 分,218998 分,225888 分,966513 分
74,荣耀Magic4,S-8 Gen 1 12/256,205088 分,418848 分,162572 分,178067 分,964575 分
75,iQOO 8 Pro,S-888+ 12/256,261556 分,303074 分,184280 分,214836 分,963746 分
76,iQOO 7,S-888 12/256,258970 分,306763 分,182385 分,212896 分,961013 分
77,iQOO Neo5S,S-888 12/256,255846 分,305448 分,185495 分,211576 分,958365 分
78,iQOO 8,S-888 12/256,257312 分,306444 分,183663 分,209025 分,956444 分
79,iQOO Neo7 SE,M-8200 12/512,280569 分,238843 分,208905 分,226774 分,955091 分
80,vivo S17 Pro,M-8200 12/512,278085 分,233693 分,206468 分,232739 分,950981 分
81,realme GT,S-888 12/256,245216 分,302092 分,174760 分,207223 分,929290 分
82,Redmi K40 Pro+,S-888 12/256,246306 分,290503 分,163305 分,216247 分,916361 分
83,Redmi K40 Pro,S-888 8/256,247604 分,291799 分,161131 分,212786 分,913318 分
84,小米MIX 4,S-888+ 12/256,241324 分,280193 分,172497 分,216546 分,910560 分
85,荣耀X40 GT竞速版,S-888 12/256,230562 分,283692 分,182690 分,209536 分,906480 分
86,Redmi Note12T Pro,M-8200-Ultra 12/512,261045 分,227981 分,197231 分,216548 分,902805 分
87,小米Civi 3,M-8200-Ultra 12/256,262735 分,228801 分,190847 分,214131 分,896514 分
88,Redmi K60E,M-8200 12/512,261783 分,221549 分,198609 分,213401 分,895342 分
89,一加Ace 竞速版,M-8100-Max 12/256,275938 分,214587 分,190642 分,211066 分,892232 分
90,小米11 Ultra,S-888 12/512,232538 分,268163 分,176050 分,214493 分,891244 分
91,小米11 Pro,S-888 12/256,231012 分,262140 分,171254 分,213557 分,877963 分
92,realme GT Neo 3,M-8100 12/256,268919 分,215447 分,176482 分,212361 分,873209 分
93,Redmi K50,M-8100 8/256,256017 分,203033 分,179509 分,203092 分,841650 分
94,OPPO K10 5G,M-8000-Max 8/256,266350 分,178243 分,188154 分,206567 分,839314 分
95,Redmi Note 11T Pro,M-8100 12/256,255414 分,195110 分,188227 分,199370 分,838121 分
96,小米11,S-888 12/256,217068 分,250716 分,164481 分,205174 分,837439 分
97,iQOO Neo5 SE,S-870 8/256,247824 分,214676 分,159570 分,212301 分,834371 分
98,iQOO Neo6 SE,S-870 12/256,239596 分,214722 分,179144 分,197462 分,830924 分
99,realme GT 大师探索版,S-870 12/256,245631 分,218692 分,156759 分,204813 分,825895 分
100,Redmi Note 11T Pro+,M-8100 8/256,256345 分,198596 分,166675 分,201855 分,823471 分
101,Redmi K40,S-870 12/256,237561 分,217314 分,148952 分,207407 分,811234 分
102,iQOO Neo5 活力版,S-870 8/256,241691 分,214858 分,160337 分,193111 分,809997 分
103,iQOO Neo5,S-870 8/256,240711 分,213940 分,157347 分,192851 分,804849 分
104,小米10S,S-870 12/256,235177 分,217380 分,149674 分,199138 分,801368 分
105,Redmi K40S,S-870 12/256,234179 分,217031 分,141154 分,202713 分,795075 分
106,Redmi K30S 至尊纪念版,S-865 8/128,228004 分,201366 分,141278 分,193078 分,763726 分
107,小米10,S-865 12/256,228078 分,196435 分,147767 分,191148 分,763428 分
108,小米10 Pro,S-865 8/256,229058 分,197917 分,148127 分,187932 分,763034 分
109,小米10 至尊纪念版,S-865 12/256,227590 分,196800 分,138837 分,196597 分,759824 分
110,Redmi Note 13 Pro+,M-7200-Ultra 12/512,237808 分,183393 分,160264 分,175030 分,756495 分
111,Redmi K30 Pro,S-865 8/128,235565 分,195328 分,144385 分,180415 分,755693 分
112,OPPO K11 5G,S-782G 8/256,228690 分,163884 分,153987 分,154080 分,700641 分
113,荣耀90,S-7 Gen 1 OC 16/256,222232 分,169030 分,162294 分,142463 分,696018 分
114,iQOO Z7,S-782G 8/256,223592 分,164288 分,130415 分,148558 分,666852 分
115,vivo S17,S-778G+ 12/256,210488 分,148270 分,133356 分,141363 分,633476 分
116,Redmi K20 Pro 尊享版,S-855+ 12/512,193826 分,153838 分,117727 分,137758 分,603149 分
117,小米9,S-855 8/128,194514 分,151545 分,112868 分,140210 分,599137 分
118,荣耀50,S-778G 8/256,201230 分,140394 分,125829 分,129420 分,596871 分
119,华为nova 11,S-778G 4G 8/256,196594 分,137848 分,123305 分,135390 分,593136 分
120,Redmi Note 13 Pro,S-7s Gen 2 12/256,201823 分,116569 分,125177 分,147236 分,590805 分
Top,Name,Processor,CPU,GPU,MEM,UX,Score
Top,Name,Processor,CPU,GPU,MEM,UX,Score
1,红魔9 Pro+,S-8 Gen 3 16/512,474724 分,912609 分,428089 分,373209 分,2188631 分
2,vivo X100,M-9300 16/1024,511119 分,903499 分,438312 分,331223 分,2184153 分
3,iQOO 12,S-8 Gen 3 16/1024,470166 分,911934 分,454635 分,337749 分,2174484 分
4,iQOO 12 Pro,S-8 Gen 3 16/1024,457857 分,887583 分,457595 分,337969 分,2141004 分
5,vivo X100 Pro,M-9300 16/1024,499413 分,858272 分,430517 分,321680 分,2109880 分
6,小米14 Pro,S-8 Gen 3 16/512,435846 分,834266 分,419019 分,317731 分,2006861 分
7,小米14,S-8 Gen 3 16/512,441386 分,824976 分,420311 分,317590 分,2004263 分
8,iQOO 11S,S-8 Gen 2 16/512,414573 分,603382 分,349361 分,280440 分,1647756 分
9,一加Ace 2 Pro,S-8 Gen 2 24/1024,403365 分,603531 分,335888 分,299634 分,1642418 分
10,vivo X90 Pro+,S-8 Gen 2 12/512,416354 分,598442 分,329654 分,285087 分,1629535 分
11,realme GT5,S-8 Gen 2 16/512,407107 分,588996 分,320563 分,295404 分,1612069 分
12,OPPO Find X6 Pro,S-8 Gen 2 16/512,413065 分,594393 分,305324 分,295828 分,1608610 分
13,iQOO 11,S-8 Gen 2 12/256,408455 分,598415 分,309629 分,282828 分,1599327 分
14,一加手机11,S-8 Gen 2 16/512,405475 分,593291 分,304979 分,292907 分,1596650 分
15,努比亚Z50S Pro,S-8 Gen 2 OC 12/1024,378628 分,615498 分,272100 分,316231 分,1582457 分
16,OPPO Find N3,S-8 Gen 2 12/512,389723 分,594039 分,301610 分,292900 分,1578270 分
17,魅族20 Pro,S-8 Gen 2 12/256,394783 分,598868 分,299905 分,279548 分,1573104 分
18,vivo X90s,M-9200+ 12/512,410786 分,559697 分,311055 分,290762 分,1572300 分
19,小米13,S-8 Gen 2 12/512,393407 分,602737 分,289590 分,279948 分,1565681 分
20,iQOO Neo8 Pro,M-9200+ 16/1024,382217 分,562786 分,325094 分,294805 分,1564902 分
21,魅族20,S-8 Gen 2 12/256,393534 分,604941 分,294220 分,269203 分,1561897 分
22,小米MIX Fold 3,S-8 Gen 2 OC 16/512,375605 分,617687 分,285763 分,281040 分,1560093 分
23,小米13 Ultra,S-8 Gen 2 16/512,385233 分,598220 分,291564 分,279683 分,1554699 分
24,小米13 Pro,S-8 Gen 2 12/512,384246 分,597011 分,286530 分,284542 分,1552329 分
25,Redmi K60 Pro,S-8 Gen 2 12/512,385755 分,595702 分,290706 分,279680 分,1551841 分
26,努比亚Z50,S-8 Gen 2 12/256,369689 分,604752 分,296106 分,272970 分,1543515 分
27,三星Galaxy S23 Ultra,S-8 Gen 2 OC 12/512,381053 分,598541 分,286825 分,273287 分,1539706 分
28,三星Galaxy S23,S-8 Gen 2 OC 8/256,378149 分,605661 分,273270 分,265396 分,1522476 分
29,vivo X90,M-9200 12/256,405924 分,539093 分,296602 分,277500 分,1519119 分
30,Redmi K60 至尊版,M-9200+ 24/1024,383527 分,531142 分,324069 分,279442 分,1518180 分
31,vivo X90 Pro,M-9200 12/256,401157 分,541466 分,290810 分,277655 分,1511088 分
32,三星Galaxy Z Fold5,S-8 Gen 2 OC 12/512,379380 分,566949 分,294992 分,266793 分,1508112 分
33,OPPO Find X6,M-9200 16/512,394776 分,509770 分,311226 分,287061 分,1502833 分
34,荣耀Magic5 Pro,S-8 Gen 2 12/256,333076 分,579340 分,275957 分,247003 分,1435376 分
35,荣耀Magic5 至臻版,S-8 Gen 2 16/512,318252 分,580885 分,280356 分,238370 分,1417862 分
36,荣耀Magic V2,S-8 Gen 2 OC 16/512,280705 分,623879 分,248008 分,223481 分,1376073 分
37,OPPO Reno10 Pro+ 5G,S-8+ Gen 1 UC 16/512,372281 分,490867 分,251747 分,260625 分,1375520 分
38,一加Ace 2,S-8+ Gen 1 16/512,378874 分,491355 分,237443 分,258708 分,1366379 分
39,iQOO Neo8,S-8+ Gen 1 UC 16/1024,356594 分,485671 分,276245 分,244421 分,1362931 分
40,iQOO Neo7 竞速版,S-8+ Gen 1 16/512,367081 分,490177 分,264181 分,239863 分,1361299 分
41,拯救者平板Y700 2023,S-8+ Gen 1 16/512,366010 分,482235 分,239121 分,257126 分,1344492 分
42,荣耀Magic5,S-8 Gen 2 12/256,300595 分,588267 分,215746 分,237508 分,1342116 分
43,Redmi K60,S-8+ Gen 1 UC 16/1024,356267 分,485851 分,245487 分,248306 分,1335911 分
44,小米12S Pro,S-8+ Gen 1 12/512,365374 分,481674 分,236077 分,252507 分,1335632 分
45,OPPO Reno9 Pro+ 5G,S-8+ Gen 1 UC 16/256,365013 分,497231 分,220577 分,251148 分,1333969 分
46,realme GT Neo5,S-8+ Gen 1 UC 16/1024,353066 分,476472 分,243030 分,257884 分,1330452 分
47,iQOO 10,S-8+ Gen 1 12/256,350316 分,488518 分,251588 分,239924 分,1330346 分
48,iQOO 10 Pro,S-8+ Gen 1 12/256,350619 分,483355 分,251517 分,244398 分,1329887 分
49,小米平板6 Pro,S-8+ Gen 1 12/512,361344 分,473980 分,229333 分,264054 分,1328709 分
50,一加Ace Pro,S-8+ Gen 1 16/256,371840 分,493520 分,207710 分,252159 分,1325229 分
51,拯救者Y70,S-8+ Gen 1 12/256,363427 分,490677 分,219197 分,251463 分,1324764 分
52,Redmi K50 至尊版,S-8+ Gen 1 12/512,364951 分,476536 分,228019 分,248567 分,1318073 分
53,小米12S Ultra,S-8+ Gen 1 12/512,353488 分,479425 分,208979 分,250820 分,1292712 分
54,华为P60 Art,S-8+ Gen 1 12/512,357761 分,473636 分,212314 分,231672 分,1275383 分
55,华为Mate 50 Pro,S-8+ Gen 1 8/256,366265 分,474752 分,196187 分,231913 分,1269117 分
56,华为P60 Pro,S-8+ Gen 1 12/256,358473 分,473959 分,195131 分,231606 分,1259169 分
57,iQOO 9,S-8 Gen 1 12/256,326014 分,451972 分,239647 分,232169 分,1249802 分
58,华为P60,S-8+ Gen 1 UC 8/256,351029 分,473775 分,190362 分,227480 分,1242646 分
59,iQOO 9 Pro,S-8 Gen 1 12/256,325594 分,443514 分,238664 分,234288 分,1242060 分
