date,city,country,weather,max_temperature,min_temperature,Wind,Wind_level
2023/12/31,衡水,中国,晴,5.0,-6.0,东北风,微风
2023/12/31,高陵,中国,晴,7.0,-2.0,东北风,微风
2023/12/31,双流,中国,小雨,11.0,7.0,南风,微风
2023/12/31,蓬溪,中国,阴,9.0,8.0,南风,微风
2023/12/31,固始,中国,晴,9.0,0.0,东北风,微风
2023/12/31,海伦,中国,晴,-17.0,-23.0,北风,微风
2023/12/31,黄石,中国,晴,15.0,1.0,无持续风向,微风
2023/12/31,宜川,中国,晴,2.0,-6.0,东北风,微风
2023/12/31,汉川,中国,晴,14.0,2.0,无持续风向,微风
2023/12/31,环县,中国,晴,6.0,-9.0,无持续风向,微风
2023/12/31,潮州,中国,多云,28.0,12.0,无持续风向,微风
2023/12/31,宁津,中国,晴,4.0,-7.0,无持续风向,微风
2023/12/31,东兰,中国,多云,23.0,15.0,东南风,微风
2023/12/31,慈利,中国,晴,16.0,4.0,东北风,微风
2023/12/31,景洪,中国,晴,27.0,13.0,无持续风向,微风
2023/12/31,密云,中国,晴,5.0,-11.0,东北风,微风
2023/12/31,德庆,中国,多云,25.0,14.0,无持续风向,微风
2023/12/31,龙州,中国,多云,25.0,18.0,东风,微风
2023/12/31,连山,中国,小雨,23.0,12.0,无持续风向,微风
2023/12/31,长治,中国,晴,4.0,-9.0,南风,微风
2023/12/31,安图,中国,多云,-5.0,-21.0,西北风,微风
2023/12/31,当阳,中国,晴,13.0,2.0,无持续风向,微风
2023/12/31,玉田,中国,晴,3.0,-11.0,东北风,微风
2023/12/31,宣化,中国,晴,-1.0,-13.0,西北风,3~4级
2023/12/31,澄海,中国,多云,23.0,15.0,东风,3~4级
2023/12/31,成都,中国,多云,11.0,6.0,南风,微风
2023/12/31,井冈山,中国,多云,17.0,5.0,西南风,微风
2023/12/31,介休,中国,晴,1.0,-8.0,北风,微风
2023/12/31,临海,中国,晴,15.0,1.0,西北风,4~5级
2023/12/31,望都,中国,晴,5.0,-8.0,东南风,微风
2023/12/31,科尔沁右翼中旗,中国,晴,-8.0,-14.0,西北风,3~4级
2023/12/31,承德县,中国,多云,0.0,-14.0,北风,微风
2023/12/31,鹤壁,中国,晴,6.0,-5.0,东北风,微风
2023/12/31,银川,中国,晴,2.0,-9.0,无持续风向,微风
2023/12/31,贺兰,中国,晴,3.0,-10.0,无持续风向,微风
2023/12/31,兰州,中国,晴,7.0,-7.0,无持续风向,微风
2023/12/31,文山,中国,阵雨,23.0,12.0,无持续风向,微风
2023/12/31,宽城,中国,多云,-1.0,-12.0,北风,微风
2023/12/31,理县,中国,晴,11.0,-1.0,南风,微风
2023/12/31,太华山,中国,晴,14.0,4.0,无持续风向,微风
2023/12/31,日喀则,中国,多云,7.0,-13.0,无持续风向,微风
2023/12/31,连云港,中国,晴,5.0,-3.0,北风,微风
2023/12/31,格尔木,中国,晴,0.0,-12.0,无持续风向,微风
2023/12/31,皮山,中国,晴,7.0,-8.0,西风,微风
2023/12/31,益阳,中国,晴,15.0,6.0,北风,微风
2023/12/31,尼玛,中国,多云,-1.0,-14.0,西风,6~7级
2023/12/31,从化,中国,多云,23.0,14.0,无持续风向,微风
2023/12/31,江门,中国,晴,26.0,17.0,无持续风向,微风
2023/12/31,南昌,中国,晴,17.0,5.0,北风,微风
2023/12/31,安乡,中国,晴,15.0,5.0,北风,微风
2023/12/31,高淳,中国,晴,9.0,0.0,北风,微风
2023/12/31,东港,中国,晴,-1.0,-15.0,北风,5~6级
2023/12/31,克山,中国,晴,-15.0,-22.0,西南风,微风
2023/12/31,洮南,中国,晴,-11.0,-19.0,北风,微风
2023/12/31,福贡,中国,多云,21.0,4.0,无持续风向,微风
2023/12/31,绿春,中国,阵雨,18.0,10.0,无持续风向,微风
2023/12/31,大武口,中国,晴,0.0,-13.0,无持续风向,微风
2023/12/31,防城港,中国,多云,26.0,18.0,东南风,微风
2023/12/31,绍兴,中国,晴,12.0,1.0,北风,4~5级
2023/12/31,金州,中国,多云,-4.0,-10.0,北风,6~7级
2023/12/31,孝义,中国,晴,2.0,-7.0,东北风,微风
2023/12/31,济南,中国,多云,3.0,-5.0,无持续风向,微风
2023/12/31,上栗,中国,多云,18.0,6.0,西北风,微风
2023/12/31,东海,中国,晴,5.0,-4.0,北风,微风
2023/12/31,三门峡,中国,晴,8.0,-2.0,东风,3~4级
2023/12/31,延寿,中国,晴,-13.0,-28.0,东北风,微风
2023/12/31,江永,中国,多云,23.0,10.0,北风,微风
2023/12/31,福海,中国,多云,-7.0,-12.0,东南风,微风
2023/12/31,即墨,中国,晴,3.0,-6.0,北风,4~5级
2023/12/31,儋州,中国,多云,24.0,18.0,无持续风向,微风
2023/12/31,大关,中国,多云,12.0,6.0,无持续风向,微风
2023/12/31,永修,中国,晴,16.0,3.0,北风,微风
2023/12/31,嘉义,中国,多云,26.0,14.0,无持续风向,微风
2023/12/31,宁县,中国,晴,6.0,-4.0,无持续风向,微风
2023/12/31,兴海,中国,晴,3.0,-18.0,无持续风向,微风
2023/12/31,溧阳,中国,晴,9.0,-1.0,北风,3~4级
2023/12/31,上饶县,中国,晴,18.0,5.0,东北风,微风
2023/12/31,武夷山,中国,晴,21.0,5.0,无持续风向,微风
2023/12/31,临洮,中国,晴,6.0,-13.0,无持续风向,微风
2023/12/31,射洪,中国,阴,10.0,7.0,南风,微风
2023/12/31,余庆,中国,小雨,13.0,8.0,东风,微风
2023/12/31,昭苏,中国,晴,-3.0,-9.0,西风,微风
2023/12/31,衡南,中国,多云,20.0,7.0,北风,微风
2023/12/31,饶河,中国,晴,-17.0,-31.0,西北风,微风
2023/12/31,襄阳,中国,晴,11.0,0.0,无持续风向,微风
2023/12/31,瓜州,中国,多云,3.0,-12.0,无持续风向,微风
2023/12/31,建阳,中国,晴,20.0,7.0,无持续风向,微风
2023/12/31,晋宁,中国,晴,17.0,6.0,无持续风向,微风
2023/12/31,安国,中国,晴,5.0,-8.0,东南风,微风
2023/12/31,温县,中国,晴,9.0,-4.0,东风,微风
2023/12/31,靖安,中国,晴,17.0,3.0,西北风,微风
2023/12/31,芷江,中国,多云,16.0,6.0,北风,微风
2023/12/31,桦甸,中国,阵雪,-6.0,-20.0,西风,微风
2023/12/31,靖宇,中国,小雪,-6.0,-24.0,西北风,微风
2023/12/31,抚宁,中国,晴,1.0,-9.0,北风,3~4级
2023/12/31,中阳,中国,晴,1.0,-8.0,东南风,微风
2023/12/31,扶风,中国,晴,4.0,-1.0,西南风,微风
2023/12/31,哈巴河,中国,多云,-4.0,-8.0,东风,微风
2023/12/31,霞浦,中国,多云,18.0,7.0,无持续风向,微风
2023/12/31,同德,中国,晴,6.0,-13.0,无持续风向,微风
2023/12/31,海宁,中国,晴,10.0,0.0,西北风,4~5级
2023/12/31,金川,中国,晴,15.0,-3.0,北风,微风
2023/12/31,荆门,中国,晴,12.0,2.0,无持续风向,微风
2023/12/31,秭归,中国,晴,13.0,5.0,无持续风向,微风
2023/12/31,平山,中国,晴,4.0,-7.0,南风,微风
2023/12/31,霍州,中国,晴,5.0,-6.0,北风,微风
2023/12/31,安吉,中国,晴,10.0,0.0,西北风,3~4级
2023/12/31,砀山,中国,晴,8.0,-4.0,北风,微风
2023/12/31,柞水,中国,晴,12.0,-2.0,东北风,微风
2023/12/31,安义,中国,晴,16.0,2.0,西北风,微风
2023/12/31,延长,中国,晴,2.0,-8.0,东北风,微风
2023/12/31,乡宁,中国,晴,0.0,-3.0,东南风,微风
2023/12/31,灌云,中国,晴,6.0,-3.0,北风,微风
2023/12/31,苍山,中国,晴,7.0,-5.0,无持续风向,微风
2023/12/31,贡觉,中国,晴,4.0,-12.0,无持续风向,微风
2023/12/31,石渠,中国,晴,0.0,-16.0,南风,微风
2023/12/31,湟中,中国,晴,6.0,-12.0,无持续风向,微风
2023/12/31,灵寿,中国,晴,3.0,-7.0,南风,微风
2023/12/31,繁昌,中国,晴,11.0,-2.0,东北风,微风
2023/12/31,陶乐,中国,晴,2.0,-12.0,无持续风向,微风
2023/12/31,彰武,中国,晴,-7.0,-19.0,北风,4~5级
2023/12/31,小金,中国,晴,11.0,-4.0,北风,微风
2023/12/31,庐山,中国,晴,12.0,3.0,北风,微风
2023/12/31,泰宁,中国,晴,22.0,6.0,无持续风向,微风
2023/12/31,三水,中国,多云,24.0,15.0,无持续风向,微风
2023/12/31,富阳,中国,晴,13.0,0.0,东北风,4~5级
2023/12/31,泾阳,中国,晴,6.0,-2.0,东北风,微风
2023/12/31,泰来,中国,晴,-11.0,-17.0,北风,微风
2023/12/31,泽普,中国,晴,5.0,-9.0,北风,微风
2023/12/31,衢州,中国,晴,16.0,2.0,东北风,4~5级
2023/12/31,申扎,中国,多云,-1.0,-17.0,西风,6~7级
2023/12/31,祁东,中国,多云,20.0,7.0,北风,微风
2023/12/31,乐山,中国,阴,12.0,9.0,南风,微风
2023/12/31,渝北,中国,多云,10.0,7.0,北风,微风
2023/12/31,富宁,中国,多云,24.0,13.0,无持续风向,微风
2023/12/31,崆峒,中国,晴,5.0,-3.0,无持续风向,微风
2023/12/31,公安,中国,晴,14.0,4.0,无持续风向,微风
2023/12/31,延津县,中国,晴,6.0,-5.0,东北风,微风
2023/12/31,黄陵,中国,晴,6.0,-3.0,西南风,微风
2023/12/31,屯留,中国,晴,2.0,-6.0,东风,微风
2023/12/31,扎兰屯,中国,晴,-12.0,-21.0,南风,微风
2023/12/31,唐河,中国,晴,10.0,-2.0,东风,微风
2023/12/31,洛阳市,中国,晴,9.0,-1.0,东北风,微风
2023/12/31,青冈,中国,晴,-16.0,-20.0,北风,微风
2023/12/31,九台,中国,晴,-12.0,-22.0,北风,微风
2023/12/31,莲花,中国,多云,20.0,7.0,北风,微风
2023/12/31,韩城,中国,晴,5.0,-3.0,东北风,微风
2023/12/31,柏乡,中国,晴,5.0,-8.0,北风,微风
2023/12/31,楚雄,中国,晴,17.0,5.0,无持续风向,微风
2023/12/31,正安,中国,阴,10.0,7.0,东风,微风
2023/12/31,北京,中国,晴,5.0,-8.0,东北风,微风
2023/12/31,冷水滩,中国,晴,20.0,9.0,北风,微风
2023/12/31,锦州,中国,晴,-3.0,-12.0,北风,4~5级
2023/12/31,元阳,中国,阵雨,25.0,16.0,无持续风向,微风
2023/12/31,开江,中国,多云,15.0,7.0,南风,微风
2023/12/31,旌德,中国,晴,13.0,-3.0,北风,微风
2023/12/31,普定,中国,多云,15.0,9.0,南风,微风
2023/12/31,西盟,中国,晴,23.0,10.0,无持续风向,微风
2023/12/31,华蓥山,中国,小雨,11.0,9.0,南风,微风
2023/12/31,海兴,中国,晴,3.0,-10.0,东北风,3~4级
2023/12/31,常山,中国,晴,16.0,1.0,东北风,3~4级
2023/12/31,米林,中国,多云,10.0,-4.0,无持续风向,微风
2023/12/31,乐至,中国,阴,10.0,7.0,南风,微风
2023/12/31,郴州,中国,多云,19.0,9.0,北风,微风
2023/12/31,沿河,中国,小雨,10.0,6.0,东风,微风
2023/12/31,安仁,中国,多云,20.0,8.0,东北风,微风
2023/12/31,南靖,中国,晴,26.0,13.0,东风,3~4级
2023/12/31,广宁,中国,多云,26.0,14.0,无持续风向,微风
2023/12/31,门头沟,中国,晴,5.0,-8.0,东南风,微风
2023/12/31,祥云,中国,晴,16.0,3.0,无持续风向,微风
2023/12/31,黎川,中国,晴,21.0,5.0,西风,微风
2023/12/31,张掖,中国,多云,3.0,-10.0,无持续风向,微风
2023/12/31,衡山,中国,多云,18.0,6.0,北风,微风
2023/12/31,依安,中国,晴,-15.0,-22.0,南风,微风
2023/12/31,庆云,中国,晴,3.0,-8.0,无持续风向,微风
2023/12/31,昆山,中国,晴,9.0,2.0,北风,微风
2023/12/31,榆树,中国,晴,-14.0,-24.0,北风,微风
2023/12/31,洱源,中国,雨夹雪,16.0,-1.0,无持续风向,微风
2023/12/31,石林,中国,晴,20.0,5.0,无持续风向,微风
2023/12/31,长泰,中国,晴,26.0,13.0,无持续风向,微风
2023/12/31,万山,中国,小雨,10.0,6.0,东北风,微风
2023/12/31,巨鹿,中国,晴,5.0,-6.0,北风,微风
2023/12/31,玉环,中国,晴,15.0,5.0,东北风,4~5级
2023/12/31,中牟县,中国,晴,9.0,-4.0,东北风,微风
2023/12/31,梨树,中国,晴,-10.0,-17.0,北风,微风
2023/12/31,郎溪,中国,晴,10.0,-2.0,北风,微风
2023/12/31,湟源,中国,晴,6.0,-16.0,无持续风向,微风
2023/12/31,桐乡,中国,晴,10.0,0.0,西北风,4~5级
2023/12/31,洪湖,中国,晴,14.0,4.0,无持续风向,微风
2023/12/31,资阳,中国,阴,12.0,7.0,南风,微风
2023/12/31,孟连,中国,晴,24.0,9.0,无持续风向,微风
2023/12/31,永宁,中国,晴,3.0,-9.0,无持续风向,微风
2023/12/31,腾冲,中国,晴,17.0,3.0,无持续风向,微风
2023/12/31,东明,中国,雾,7.0,-5.0,无持续风向,微风
2023/12/31,清流,中国,晴,23.0,7.0,无持续风向,微风
2023/12/31,鄄城,中国,雾,6.0,-5.0,无持续风向,微风
2023/12/31,大足,中国,多云,10.0,7.0,北风,微风
2023/12/31,榆中,中国,晴,6.0,-12.0,无持续风向,微风
2023/12/31,乌审旗,中国,晴,0.0,-9.0,南风,微风
2023/12/31,濉溪,中国,晴,8.0,-4.0,北风,微风
2023/12/31,赣州,中国,多云,23.0,10.0,东风,微风
2023/12/31,全南,中国,多云,23.0,10.0,南风,微风
2023/12/31,容县,中国,多云,26.0,16.0,东风,微风
2023/12/31,漳县,中国,多云,7.0,-9.0,无持续风向,微风
2023/12/31,盐城,中国,晴,6.0,-2.0,北风,微风
2023/12/31,巴东,中国,晴,15.0,6.0,无持续风向,微风
2023/12/31,始兴,中国,多云,21.0,8.0,无持续风向,微风
2023/12/31,繁峙,中国,晴,0.0,-11.0,西南风,微风
2023/12/31,嘉鱼,中国,晴,14.0,3.0,无持续风向,微风
2023/12/31,清徐,中国,晴,4.0,-8.0,东北风,微风
2023/12/31,乐陵,中国,晴,3.0,-8.0,无持续风向,微风
2023/12/31,定安,中国,多云,25.0,17.0,无持续风向,微风
2023/12/31,南通,中国,晴,7.0,0.0,北风,微风
2023/12/31,诸城,中国,多云,3.0,-7.0,北风,3~4级
2023/12/31,平果,中国,多云,26.0,17.0,东南风,微风
2023/12/31,台江,中国,小雨,15.0,7.0,北风,微风
2023/12/31,宣城,中国,晴,11.0,-1.0,北风,微风
2023/12/31,耀县,中国,晴,6.0,-3.0,无持续风向,微风
2023/12/31,宜黄,中国,晴,20.0,3.0,南风,微风
2023/12/31,崇信,中国,晴,6.0,-2.0,无持续风向,微风
2023/12/31,济阳,中国,多云,3.0,-8.0,无持续风向,微风
2023/12/31,莱西,中国,晴,1.0,-6.0,北风,4~5级
2023/12/31,惠东,中国,多云,26.0,15.0,无持续风向,微风
2023/12/31,亳州,中国,晴,9.0,-3.0,东北风,微风
2023/12/31,凤台,中国,晴,9.0,-1.0,东北风,微风
2023/12/31,山阴,中国,晴,-1.0,-14.0,东南风,微风
2023/12/31,永康,中国,多云,16.0,1.0,东北风,3~4级
2023/12/31,成山头,中国,阴,1.0,-2.0,西北风,5~6级
2023/12/31,陈巴尔虎旗,中国,多云,-17.0,-26.0,南风,微风
2023/12/31,玛纳斯,中国,晴,-3.0,-7.0,东北风,微风
2023/12/31,同安,中国,晴,26.0,11.0,东风,3~4级
2023/12/31,河曲,中国,晴,0.0,-15.0,北风,微风
2023/12/31,柳城,中国,多云,23.0,13.0,北风,微风
2023/12/31,辽阳县,中国,多云,-7.0,-19.0,北风,4~5级
2023/12/31,包头,中国,晴,-5.0,-19.0,西南风,微风
2023/12/31,新平,中国,晴,20.0,6.0,无持续风向,微风
2023/12/31,顺昌,中国,晴,22.0,9.0,无持续风向,微风
2023/12/31,新邵,中国,晴,18.0,6.0,东北风,微风
2023/12/31,松阳,中国,多云,16.0,2.0,无持续风向,微风
2023/12/31,桓台,中国,晴,4.0,-7.0,无持续风向,微风
2023/12/31,乳源,中国,多云,21.0,9.0,无持续风向,微风
2023/12/31,轮台,中国,晴,1.0,-10.0,东风,微风
2023/12/31,华容,中国,晴,15.0,4.0,东北风,微风
2023/12/31,开鲁,中国,晴,-8.0,-15.0,北风,3~4级
2023/12/31,巴中,中国,小雨,13.0,6.0,南风,微风
2023/12/31,隆尧,中国,晴,5.0,-8.0,北风,微风
2023/12/31,黄陂,中国,晴,14.0,0.0,东北风,3~4级
2023/12/31,汝阳县,中国,晴,9.0,-2.0,东南风,微风
2023/12/31,芒康,中国,晴,3.0,-13.0,无持续风向,微风
2023/12/31,玛多,中国,晴,-4.0,-19.0,无持续风向,微风
2023/12/31,石城,中国,多云,22.0,8.0,北风,微风
2023/12/31,杭锦旗,中国,晴,-2.0,-13.0,南风,微风
2023/12/31,交口,中国,晴,0.0,-8.0,南风,微风
2023/12/31,酉阳,中国,小雨,12.0,4.0,东风,微风
2023/12/31,七台河,中国,晴,-15.0,-28.0,北风,3~4级
2023/12/31,当涂,中国,晴,10.0,-1.0,北风,微风
2023/12/31,平遥,中国,晴,3.0,-9.0,北风,微风
2023/12/31,洞头,中国,晴,13.0,7.0,东北风,6~7级
2023/12/31,郑州,中国,晴,9.0,-3.0,东北风,微风
2023/12/31,景泰,中国,晴,5.0,-8.0,无持续风向,微风
2023/12/31,高邑,中国,晴,1.0,-11.0,南风,微风
2023/12/31,广平,中国,晴,5.0,-6.0,北风,微风
2023/12/31,浏阳,中国,晴,18.0,6.0,东风,微风
2023/12/31,木兰,中国,晴,-14.0,-30.0,东北风,微风
2023/12/31,莱州,中国,阴,1.0,-5.0,北风,4~5级
2023/12/31,宁陵,中国,晴,8.0,-4.0,东北风,微风
2023/12/31,岢岚,中国,晴,0.0,-11.0,东北风,微风
2023/12/31,都安,中国,多云,25.0,16.0,东南风,微风
2023/12/31,松溪,中国,晴,21.0,5.0,无持续风向,微风
2023/12/31,云和,中国,多云,17.0,2.0,东北风,3~4级
2023/12/31,子长,中国,晴,3.0,-9.0,东北风,微风
2023/12/31,湘潭,中国,多云,17.0,6.0,北风,微风
2023/12/31,大通,中国,晴,6.0,-18.0,无持续风向,微风
2023/12/31,大名,中国,晴,4.0,-7.0,北风,微风
2023/12/31,金坛,中国,晴,9.0,-1.0,北风,3~4级
2023/12/31,栾川县,中国,晴,7.0,-2.0,东风,微风
2023/12/31,夷陵,中国,晴,13.0,3.0,无持续风向,微风
2023/12/31,邕宁,中国,多云,25.0,17.0,东风,微风
2023/12/31,贡噶,中国,晴,8.0,-8.0,无持续风向,微风
2023/12/31,灵石,中国,晴,1.0,-8.0,东北风,微风
2023/12/31,汉寿,中国,晴,16.0,6.0,北风,微风
2023/12/31,内江,中国,阴,12.0,8.0,南风,微风
2023/12/31,曲沃,中国,晴,8.0,-3.0,东南风,微风
2023/12/31,光山,中国,晴,10.0,-1.0,东北风,微风
2023/12/31,枣强,中国,晴,5.0,-7.0,东北风,微风
2023/12/31,通化县,中国,晴,-5.0,-22.0,北风,微风
2023/12/31,西畴,中国,多云,18.0,11.0,无持续风向,微风
2023/12/31,凤阳,中国,晴,9.0,-4.0,东北风,微风
2023/12/31,巴里坤,中国,晴,-4.0,-12.0,北风,微风
2023/12/31,拐子湖,中国,晴,-1.0,-11.0,西风,微风
2023/12/31,桐庐,中国,晴,14.0,0.0,东北风,4~5级
2023/12/31,麻江,中国,小雨,12.0,6.0,北风,微风
2023/12/31,广南,中国,晴,22.0,9.0,无持续风向,微风
2023/12/31,甘谷,中国,多云,10.0,-3.0,无持续风向,微风
2023/12/31,鸡泽,中国,晴,4.0,-7.0,北风,微风
2023/12/31,图们,中国,晴,-3.0,-17.0,西北风,微风
2023/12/31,通渭,中国,晴,6.0,-10.0,无持续风向,微风
2023/12/31,盐池,中国,晴,5.0,-11.0,无持续风向,微风
2023/12/31,竹山,中国,晴,14.0,2.0,无持续风向,微风
2023/12/31,英山,中国,晴,15.0,-1.0,无持续风向,微风
2023/12/31,大竹,中国,小雨,13.0,7.0,南风,微风
2023/12/31,彬县,中国,晴,7.0,-2.0,东北风,微风
2023/12/31,西乌珠穆沁旗,中国,多云,-11.0,-16.0,西南风,4~5级
2023/12/31,额敏,中国,多云,-1.0,-6.0,东北风,微风
2023/12/31,双辽,中国,晴,-10.0,-18.0,东北风,微风
2023/12/31,阳高,中国,晴,-2.0,-14.0,东南风,微风
2023/12/31,丰县,中国,晴,6.0,-4.0,北风,微风
2023/12/31,攀枝花,中国,晴,22.0,6.0,北风,微风
2023/12/31,余江,中国,多云,18.0,5.0,西南风,微风
2023/12/31,黄山区,中国,晴,13.0,-3.0,东北风,微风
2023/12/31,临城,中国,晴,5.0,-6.0,北风,微风
2023/12/31,黔西,中国,阴,17.0,6.0,东北风,微风
2023/12/31,朱日和,中国,多云,-4.0,-12.0,西南风,4~5级
2023/12/31,北安,中国,晴,-16.0,-25.0,西北风,3~4级
2023/12/31,遂宁,中国,阴,9.0,8.0,南风,微风
2023/12/31,霍山,中国,晴,11.0,-3.0,东北风,微风
2023/12/31,华池,中国,晴,6.0,-11.0,无持续风向,微风
2023/12/31,宁南,中国,晴,22.0,8.0,北风,微风
2023/12/31,乌鲁木齐,中国,晴,-2.0,-8.0,南风,微风
2023/12/31,新密市,中国,晴,9.0,-3.0,东风,微风
2023/12/31,平原,中国,晴,4.0,-8.0,无持续风向,微风
2023/12/31,荔波,中国,小雨,22.0,12.0,东南风,微风
2023/12/31,方城,中国,晴,9.0,-4.0,东风,微风
2023/12/31,清水,中国,多云,9.0,-2.0,无持续风向,微风
2023/12/31,宜春,中国,晴,18.0,4.0,南风,微风
2023/12/31,南安,中国,晴,26.0,11.0,东风,3~4级
2023/12/31,永年,中国,晴,5.0,-6.0,北风,微风
2023/12/31,双城,中国,晴,-16.0,-24.0,东北风,微风
2023/12/31,河南,中国,晴,4.0,-23.0,无持续风向,微风
2023/12/31,保山,中国,晴,17.0,2.0,无持续风向,微风
2023/12/31,贵阳,中国,阵雨,16.0,8.0,南风,微风
2023/12/31,中卫,中国,晴,2.0,-11.0,无持续风向,微风
2023/12/31,威远,中国,阴,12.0,9.0,南风,微风
2023/12/31,牙克石,中国,多云,-15.0,-26.0,南风,微风
2023/12/31,平泉,中国,多云,-3.0,-15.0,东北风,微风
2023/12/31,边坝,中国,晴,5.0,-13.0,无持续风向,微风
2023/12/31,垣曲,中国,晴,8.0,-5.0,东南风,微风
2023/12/31,永靖,中国,晴,8.0,-10.0,无持续风向,微风
2023/12/31,武安,中国,晴,5.0,-7.0,北风,微风
2023/12/31,通州,中国,晴,7.0,1.0,北风,微风
2023/12/31,仁化,中国,多云,23.0,9.0,无持续风向,微风
2023/12/31,浦北,中国,多云,25.0,16.0,东风,微风
2023/12/31,临泽,中国,多云,3.0,-10.0,无持续风向,微风
2023/12/31,淮滨,中国,晴,9.0,-1.0,东北风,微风
2023/12/31,津南,中国,晴,3.0,-7.0,北风,4~5级
2023/12/31,兴化,中国,晴,6.0,-2.0,北风,微风
