类别,名称,最低价,平均价,最高价,规格,产地,计量单位,发布日期
水果,柠檬,4.0,4.5,5.0,,,斤,2024-01-02 00:00:00
水果,石榴,3.0,3.75,4.5,,,斤,2024-01-02 00:00:00
水果,山楂,5.0,5.5,6.0,小金星,,斤,2024-01-02 00:00:00
水果,山楂,3.0,4.0,5.0,普通,,斤,2024-01-02 00:00:00
水果,姑娘果（灯笼果）,10.0,11.0,12.0,,,斤,2024-01-02 00:00:00
水果,沙果,3.3,3.4,3.5,,,斤,2024-01-02 00:00:00
水果,鸭梨,2.0,2.2,2.4,,,斤,2024-01-02 00:00:00
水果,雪花梨,2.2,2.3,2.4,,,斤,2024-01-02 00:00:00
水果,皇冠梨,2.8,3.0,3.2,纸箱,,斤,2024-01-02 00:00:00
水果,南果梨,2.5,4.75,7.0,,,斤,2024-01-02 00:00:00
水果,丰水梨,2.8,2.95,3.1,,,斤,2024-01-02 00:00:00
水果,广梨,3.3,3.75,4.2,,,斤,2024-01-02 00:00:00
水果,酥梨,2.5,2.65,2.8,,,斤,2024-01-02 00:00:00
水果,红啤梨,4.0,4.5,5.0,,,斤,2024-01-02 00:00:00
水果,红香酥梨,2.0,2.2,2.4,,,斤,2024-01-02 00:00:00
水果,京白梨,2.8,3.15,3.5,,,斤,2024-01-02 00:00:00
水果,贵妃梨,1.7,1.75,1.8,,,斤,2024-01-02 00:00:00
水果,秋月梨,4.5,4.75,5.0,,,斤,2024-01-02 00:00:00
水果,库尔勒香梨,3.5,4.0,4.5,,,斤,2024-01-02 00:00:00
水果,蜜桔,1.6,1.8,2.0,,,斤,2024-01-02 00:00:00
蔬菜,芋头,2.5,2.75,3.0,,鲁,斤,2024-01-02 00:00:00
蔬菜,姜,3.0,3.5,4.0,姜头,鲁,斤,2024-01-02 00:00:00
蔬菜,姜,5.0,6.0,7.0,整姜,鲁,斤,2024-01-02 00:00:00
蔬菜,大蒜,4.4,5.7,7.0,,豫苏鲁,斤,2024-01-02 00:00:00
蔬菜,蒜米,3.5,4.0,4.5,机剥\手工,鲁,斤,2024-01-02 00:00:00
蔬菜,大葱,1.4,1.5,1.6,毛\净,冀鲁,斤,2024-01-02 00:00:00
蔬菜,小葱,6.0,6.1,6.2,,冀鲁,斤,2024-01-02 00:00:00
蔬菜,蒜苗,3.0,5.0,7.0,,鲁,斤,2024-01-02 00:00:00
蔬菜,蒜黄,5.0,5.25,5.5,,冀,斤,2024-01-02 00:00:00
蔬菜,青蒜,2.8,2.9,3.0,,川豫,斤,2024-01-02 00:00:00
蔬菜,平菇,3.0,3.25,3.5,,京,斤,2024-01-02 00:00:00
蔬菜,香菇,3.5,5.25,7.0,,冀,斤,2024-01-02 00:00:00
蔬菜,白玉菇,3.8,4.4,5.0,,冀豫京,斤,2024-01-02 00:00:00
蔬菜,口蘑,7.0,7.25,7.5,,冀闽,斤,2024-01-02 00:00:00
蔬菜,杏鲍菇,3.5,3.75,4.0,,苏豫津,斤,2024-01-02 00:00:00
蔬菜,金针菇,3.2,3.45,3.7,,辽鲁京,斤,2024-01-02 00:00:00
蔬菜,油菜,2.3,2.55,2.8,,,斤,2024-01-02 00:00:00
蔬菜,小白菜,3.8,4.15,4.5,,,斤,2024-01-02 00:00:00
蔬菜,油麦菜,2.5,3.0,3.5,,,斤,2024-01-02 00:00:00
蔬菜,奶白菜,2.3,2.75,3.2,,,斤,2024-01-02 00:00:00
蔬菜,大白菜,0.4,0.5,0.6,,冀鲁鄂,斤,2024-01-02 00:00:00
蔬菜,娃娃菜,0.7,0.85,1.0,,豫,斤,2024-01-02 00:00:00
蔬菜,小白菜,1.8,2.0,2.2,,鲁冀,斤,2024-01-02 00:00:00
蔬菜,圆白菜,0.45,0.48,0.5,露地,鄂冀,斤,2024-01-02 00:00:00
蔬菜,圆白菜,2.0,2.2,2.4,大棚,鲁冀,斤,2024-01-02 00:00:00
蔬菜,紫甘蓝,1.1,1.15,1.2,,冀鲁宁,斤,2024-01-02 00:00:00
蔬菜,芹菜,1.1,1.2,1.3,,鲁,斤,2024-01-02 00:00:00
蔬菜,西芹,2.1,2.2,2.3,,鲁辽,斤,2024-01-02 00:00:00
蔬菜,菠菜,1.8,2.3,2.8,,冀鲁,斤,2024-01-02 00:00:00
蔬菜,莴笋,1.0,1.25,1.5,,鲁浙皖云,斤,2024-01-02 00:00:00
蔬菜,团生菜,1.8,2.4,3.0,,云,斤,2024-01-02 00:00:00
蔬菜,罗马生菜,2.0,2.25,2.5,,云,斤,2024-01-02 00:00:00
蔬菜,散叶生菜,3.5,3.65,3.8,,冀辽,斤,2024-01-02 00:00:00
蔬菜,油菜,2.0,2.25,2.5,,鲁皖川,斤,2024-01-02 00:00:00
蔬菜,香菜,2.5,3.0,3.5,,冀鲁,斤,2024-01-02 00:00:00
蔬菜,茴香,5.0,5.25,5.5,,冀,斤,2024-01-02 00:00:00
蔬菜,韭菜,3.5,3.75,4.0,,粤冀,斤,2024-01-02 00:00:00
蔬菜,苦菊,5.4,5.6,5.8,,辽,斤,2024-01-02 00:00:00
蔬菜,油麦菜,2.0,2.4,2.8,,冀鲁云,斤,2024-01-02 00:00:00
蔬菜,散菜花,1.5,2.15,2.8,,陕云鲁,斤,2024-01-02 00:00:00
蔬菜,穿心莲,5.0,5.5,6.0,,,斤,2024-01-02 00:00:00
蔬菜,木耳菜,6.0,6.5,7.0,,,斤,2024-01-02 00:00:00
水果,凤梨,2.3,2.5,2.7,箱装（上六下六）,,斤,2024-01-02 00:00:00
水果,圣女果,6.0,7.0,8.0,千禧,,斤,2024-01-02 00:00:00
水果,百香果,6.0,6.5,7.0,,,斤,2024-01-02 00:00:00
水果,黑枣,7.5,9.25,11.0,,,斤,2024-01-02 00:00:00
水果,冬枣,2.5,4.0,5.5,,,斤,2024-01-02 00:00:00
水果,九九草莓,21.0,25.5,30.0,,,斤,2024-01-02 00:00:00
水果,宁玉草莓,8.0,12.0,16.0,,,斤,2024-01-02 00:00:00
水果,甜宝草莓,13.0,16.5,20.0,奶油,,斤,2024-01-02 00:00:00
水果,红颜草莓,10.0,16.0,22.0,,,斤,2024-01-02 00:00:00
水果,火龙果,4.0,5.0,6.0,红,,斤,2024-01-02 00:00:00
水果,火龙果,3.0,3.75,4.5,白,,斤,2024-01-02 00:00:00
水果,板栗,2.8,3.15,3.5,,,斤,2024-01-02 00:00:00
水果,油栗,7.5,8.75,10.0,,,斤,2024-01-02 00:00:00
水果,木瓜,5.5,5.75,6.0,,,斤,2024-01-02 00:00:00
水果,柿饼,6.0,7.0,8.0,,,斤,2024-01-02 00:00:00
水果,磨盘柿子,1.2,1.6,2.0,,,斤,2024-01-02 00:00:00
水果,脆皮柿子,1.5,1.75,2.0,,,斤,2024-01-02 00:00:00
水果,甘蔗,1.5,1.58,1.65,,,斤,2024-01-02 00:00:00
